Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,153.3232421875,153.4282456163035,151.13728025317593,151.56683443806205,22622100
2020-01-03,151.41409301757812,152.6836745782892,150.87953542687913,151.12773328370503,21116200
2020-01-06,151.80551147460938,151.8723384741791,149.39998710539874,149.94409987696073,20813700
2020-01-07,150.42137145996094,152.41642230295344,150.17318812555376,152.0823310334366,21634100
2020-01-08,152.8173370361328,153.49508916164322,150.77455475450427,151.71003067939102,27746500
2020-01-09,154.72647094726562,154.85056988722462,153.7146276185013,154.48782810310033,21385000
2020-01-10,154.01055908203125,155.8051581253616,153.85782414949148,155.423335359617,20725900
2020-01-13,155.86239624023438,155.89103221316708,153.93415819102395,154.41144382737096,21626500
2020-01-14,154.76466369628906,156.1678848009803,154.37328593172,155.96741840076578,23477400
2020-01-15,155.7669677734375,156.4924514232917,155.18469315115652,155.23241007287436,21417900
2020-01-16,158.62115478515625,158.68798178601898,156.57837222412832,156.8838421156046,23865400
2020-01-17,159.50889587402344,159.86208265119686,157.91474872726818,159.8143511653507,34371700
2020-01-21,158.93612670898438,160.5493545898603,158.86929972428416,159.10794255718054,29517200
2020-01-22,158.17247009277344,159.88116096936955,158.1533745873671,159.79523847784247,24138800
2020-01-23,159.14613342285156,159.22250087718146,157.76200790642838,158.64021178281828,19680800
2020-01-24,157.54246520996094,159.91935335669822,156.97927155195472,159.90025784938828,24918100
2020-01-27,154.90780639648438,155.9578404968056,152.92229663944056,153.82913632666347,32078100
2020-01-28,157.94338989257812,158.229749659442,155.66196483440646,156.33970237012244,24899900
2020-01-29,160.4062042236328,161.08395646414144,158.16296971742204,160.2152928179818,34754500
2020-01-30,164.9308624267578,166.14317230881892,163.03125990019,166.14317230881892,51597500
2020-01-31,162.49667358398438,164.56809162420643,161.876208045128,164.386735306438,36142700
2020-02-03,166.45816040039062,166.57270430396193,162.6589558551061,162.6875918309989,30107000
2020-02-04,171.93736267089844,172.4337437813152,168.30044867042352,169.09274452714232,36433300
2020-02-05,171.72740173339844,175.8320619700683,170.30509956420224,175.66978656794012,39186300
2020-02-06,175.28794860839844,175.4693195025829,171.88012176235213,172.74878522102316,27751400
2020-02-07,175.53611755371094,177.19707687616415,174.19016851132312,174.5433698005128,33529100
2020-02-10,180.12765502929688,180.2612944684635,174.92524280841616,175.24025317908172,35844300
2020-02-11,176.0611572265625,182.03676914651783,175.16385775009803,181.98903766180297,53159900
2020-02-12,176.31890869140625,177.40711962197622,173.5888336107686,177.14938123785024,47062900
2020-02-13,175.36434936523438,177.76985923208883,174.56249817734334,174.76296461571766,35295800
2020-02-14,176.9298095703125,176.98708152211782,174.35245521424756,174.92520386350716,23149500
2020-02-18,178.72442626953125,179.17307606087337,177.0730215752583,177.17802502781936,27792200
2020-02-19,179.26043701171875,180.12189205359857,178.48512455294917,180.00703527611827,29997500
2020-02-20,176.52288818359375,179.2317055664298,173.345062600929,178.94454904497888,36862400
2020-02-21,170.94256591796875,175.6423175383204,169.65994977475364,175.3264467677573,48572600
2020-02-24,163.57225036621094,167.07552754742713,156.2402587850784,160.58585780799982,68311100
2020-02-25,160.87303161621094,167.35312091933608,160.47100370822852,166.7405271336605,68073300
2020-02-26,162.88308715820312,165.8407656458263,161.00702520579085,162.4427931635171,56206100
2020-02-27,151.40647888183594,159.8775139321569,151.21504611459255,156.3263900928328,93174900
2020-02-28,155.072509765625,156.6997251752608,145.49115661738037,145.88360337407545,97012700
2020-03-02,165.39089965820312,165.51533756180737,155.35967106198723,158.231207136145,71030800
2020-03-03,157.4654541015625,167.50626337555664,155.31180214387678,166.3576519192017,71677000
2020-03-04,163.24684143066406,163.39041240338062,158.52794252039857,161.27505550994934,49814400
2020-03-05,159.15011596679688,163.5531294844052,158.59495053526152,158.93953547189074,47817300
2020-03-06,154.6513671875,156.12541593642464,149.31987490003448,155.64682659379633,72821100
2020-03-09,144.17022705078125,150.99491471611074,143.57678102958232,144.53395956977954,70419300
2020-03-10,154.02923583984375,154.13452610921462,146.04636685246209,151.38742717934534,65354400
2020-03-11,147.05136108398438,150.94707060556502,144.67754750947486,150.40148636834232,56371600
2020-03-12,133.10531616210938,146.89826975779775,132.6458743082892,139.07811868334437,93226400
2020-03-13,152.02871704101562,154.97682962340602,134.70377417991185,141.183879021812,92727400
2020-03-16,129.6211395263672,142.95464658961282,129.2191262196637,134.00501978335495,87905900
2020-03-17,140.29368591308594,141.18385507347162,129.21912159266896,134.00501498499003,81059800
2020-03-18,134.3878936767578,139.7481006393259,129.2382818177403,132.09067046730803,81593200
2020-03-19,136.59896850585938,143.7203652337005,133.0478293675916,136.6563968867101,85922700
2020-03-20,131.4684600830078,140.800949554055,130.0422589982123,139.74804746388605,84866200
2020-03-23,130.15719604492188,134.5506587453808,126.8453648912079,131.1430892443274,78975200
2020-03-24,141.98788452148438,143.1939390281192,135.22063872307237,137.59443780402628,82516700
2020-03-25,140.628662109375,147.72135823117682,138.25486354180532,142.53345256391995,75638200
2020-03-26,149.42514038085938,149.95159149159855,142.01657332658462,142.04528751395355,64568100
2020-03-27,143.28964233398438,148.2574019111521,142.81105300447516,145.25186150604966,57042300
2020-03-30,153.36875915527344,153.72292525245413,143.5863903880051,145.91234252930232,63420300
2020-03-31,150.9567108154297,157.72395894334832,149.8559461708458,152.57433110296782,77927200
2020-04-01,145.59642028808594,150.9949063722673,144.3616664658325,146.44830855757147,57969900
2020-04-02,148.61154174804688,148.8221222050345,143.92137252689247,145.3571404034156,49630700
2020-04-03,147.24278259277344,150.640769470052,145.6730103070818,148.45840347788032,41243300
2020-04-06,158.1929168701172,159.37024249997808,150.83221084061367,153.45488555470874,67111700
2020-04-07,156.48915100097656,162.72037908322392,156.2689893839847,162.32793231073012,62769000
2020-04-08,158.05892944335938,159.5329782713047,156.49872342902765,158.57579953473572,48318200
2020-04-09,158.0684814453125,160.20298574217838,156.33599042821146,159.23624056503343,51385100
2020-04-13,158.42263793945312,158.48008092873175,155.35010255817997,157.31232177165464,41905300
2020-04-14,166.26194763183594,166.30980949089667,160.80603162285263,161.76321038251245,52874300
2020-04-15,164.5198974609375,166.13753197612417,161.9929460032736,163.86900827959028,40940800
2020-04-16,169.4589080810547,169.6886362235502,165.49618890668037,166.83624782982258,50479600
2020-04-17,170.9521026611328,172.29214685003413,168.33899458469585,171.8135575532285,52765600
2020-04-20,167.56370544433594,171.09569728029905,167.4967105283148,169.06648305481082,36669600
2020-04-21,160.63375854492188,166.2332459470786,158.99697631635922,166.07052729833796,56203700
2020-04-22,166.0896759033203,166.54911765561974,163.5052959642249,164.05088030656984,34620200
2020-04-23,164.0795440673828,167.5636733792408,163.59138826845415,166.65435668458446,32790800
2020-04-24,167.0755615234375,167.0851280534436,163.3999984573585,164.69218106687302,34277600
2020-04-27,166.5969696044922,169.3249203646585,165.879085519387,169.02819727967727,33194400
2020-04-28,162.53848266601562,168.14754939543366,162.13646943897155,168.07097336094168,34392700
2020-04-29,169.83224487304688,170.07153959756306,164.51991367310004,165.80252989121303,51286600
