Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2020-03-27,82.15379333496094,84.79263002531337,81.86481383851756,82.57205105626593,6718458
2020-03-30,85.88011169433594,86.28316096401767,81.9864954106968,82.19942641330252,5820467
2020-03-31,84.3591537475586,86.54930940851058,83.78119482364605,85.17285635964325,6635092
2020-04-01,79.95601654052734,83.59107553386457,79.48452310134928,80.88379493194701,6394093
2020-04-02,83.65190887451172,83.89526287021765,79.9560159602514,80.13092569641042,6619820
2020-04-03,80.86859893798828,83.70515818590087,79.78872337272041,82.83061543248473,4747585
2020-04-06,87.31737518310547,87.93335524459,83.75076086913103,83.91806634342147,7357773
2020-04-07,87.40865325927734,90.9296368987821,87.35542354841063,90.34407366626623,5852684
2020-04-08,90.71669006347656,91.22620469402104,87.50749921211047,88.45048604239375,5395896
2020-04-09,92.39732360839844,93.4771927261792,91.38589266840653,91.62163630733599,5832705
2020-04-13,92.13117980957031,92.62548600492705,89.76610824689277,92.4962077903968,5355206
2020-04-14,94.2300796508789,95.195879321162,93.24907149269056,93.88787046652087,5322780
2020-04-15,90.26042938232422,91.40113897680442,88.79271904104529,90.58743619795385,5896616
2020-04-16,88.00941467285156,91.06651477000264,87.01319808357769,90.50376433662532,6754650
2020-04-17,91.347900390625,91.5532271266803,89.67485738698211,90.72430986924384,5194436
2020-04-20,91.56842041015625,93.43157528287,89.84214798247272,90.61022508845677,8558058
2020-04-21,88.79269409179688,89.08927777476701,85.2184753413526,86.69379558204574,15009054
2020-04-22,90.7319107055664,91.50759215434158,89.39348484928834,91.15777871928087,7412479
2020-04-23,92.28326416015625,93.56085593290882,90.58741472941722,90.92962388536174,7198154
2020-04-24,94.84607696533203,95.05900795852337,91.83460787479974,93.08938716825742,5215251
2020-04-27,95.75861358642578,96.57232217116515,95.41640445996185,95.48484264395726,5150295
2020-04-28,96.0248031616211,97.49251337826719,95.34798292129577,97.36323515331642,4997893
2020-04-29,97.8651351928711,98.33662864434027,96.98298830809416,98.00962189136355,5499450
2020-04-30,95.48484802246094,96.7852585552291,95.22629161958963,96.21490391016647,6941047
2020-05-01,92.6787109375,93.89546878796192,92.31368904430805,93.68253783305921,5152073
2020-05-04,92.53423309326172,92.75476831273083,90.7927519324494,91.88022561022451,4202723
2020-05-05,93.21866607666016,94.54188965212568,93.13501331397777,93.83464632618856,4078772
2020-05-06,93.66734313964844,94.33655307679692,93.08938413761345,93.72057285179798,4042372
2020-05-07,93.42841339111328,94.99287555347753,93.1355583747583,94.77708894147275,4615580
2020-05-08,94.78479766845703,94.96975938369116,93.29740387118753,94.5381861482915,5232615
2020-05-11,94.4765396118164,95.13931813244328,92.99685189264841,93.87541705248759,3697924
2020-05-12,92.68084716796875,95.80977084090462,92.68084716796875,94.8001878696867,5004587
2020-05-13,89.18972778320312,92.47278902075661,88.51153687380757,92.44195796790682,6153409
2020-05-14,90.12995147705078,90.23784478966105,86.1686992131303,88.29575286223593,5501332
2020-05-15,90.153076171875,90.46904990491011,88.81981290169922,89.34387319817854,5006470
2020-05-18,93.6827392578125,94.29927420518815,92.28782632553164,92.38801340823568,4399162
2020-05-19,92.70398712158203,94.15284978333284,92.58838758770902,93.39759047503998,3390191
2020-05-20,93.54402160644531,94.38404940097791,92.94289295640753,93.19721685258583,4017372
2020-05-21,91.80230712890625,93.80604886518083,91.6867075903089,93.24345747375752,4184941
